x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, sensor, RMSE_x, RMSE_y, RMSE_vx, RMSE_vy
-23.7117, 6.2354, 3.4430, 3.5738, -23.7892, 6.2116, 3.2041, 3.8150, R, 0.0976, 0.0874, 0.4390, 0.4419
-23.5377, 6.4123, 3.5215, 3.5036, -23.6391, 6.3584, 3.1728, 3.6992, L, 0.0977, 0.0873, 0.4388, 0.4414
-23.3598, 6.5856, 3.5978, 3.4324, -23.4789, 6.5386, 3.2685, 3.6592, R, 0.0977, 0.0873, 0.4386, 0.4411
-23.1781, 6.7553, 3.6718, 3.3604, -23.2512, 6.7952, 3.4103, 3.8605, L, 0.0977, 0.0872, 0.4383, 0.4412
-22.9928, 6.9215, 3.7438, 3.2877, -23.0436, 6.9469, 3.6022, 3.7153, R, 0.0976, 0.0871, 0.4378, 0.4412
-22.8040, 7.0839, 3.8135, 3.2143, -22.8382, 7.1176, 3.6450, 3.6808, L, 0.0975, 0.0870, 0.4374, 0.4412
-22.6117, 7.2427, 3.8811, 3.1404, -22.6124, 7.2707, 3.9403, 3.5325, R, 0.0974, 0.0869, 0.4369, 0.4411
-22.4161, 7.3978, 3.9465, 3.0660, -22.4422, 7.3907, 3.8710, 3.3820, L, 0.0973, 0.0868, 0.4364, 0.4409
-22.2173, 7.5492, 4.0097, 2.9912, -22.1977, 7.5422, 4.2876, 3.2305, R, 0.0972, 0.0867, 0.4361, 0.4405
-22.0154, 7.6968, 4.0709, 2.9161, -22.0238, 7.6843, 4.2042, 3.1725, L, 0.0970, 0.0866, 0.4357, 0.4402
-21.8105, 7.8406, 4.1299, 2.8407, -21.8223, 7.8773, 4.1417, 3.2819, R, 0.0969, 0.0865, 0.4352, 0.4402
-21.6026, 7.9807, 4.1868, 2.7653, -21.6294, 8.0012, 4.1006, 3.1762, L, 0.0968, 0.0864, 0.4347, 0.4401
-21.3920, 8.1170, 4.2417, 2.6897, -21.4276, 8.1454, 4.1822, 3.1002, R, 0.0967, 0.0864, 0.4342, 0.4401
-21.1787, 8.2496, 4.2945, 2.6142, -21.2313, 8.1392, 4.0995, 2.6865, L, 0.0967, 0.0864, 0.4338, 0.4396
-20.9628, 8.3783, 4.3453, 2.5387, -21.0252, 8.3051, 4.0329, 2.8014, R, 0.0966, 0.0864, 0.4336, 0.4393
-20.7444, 8.5033, 4.3941, 2.4634, -20.8629, 8.4494, 3.9588, 2.8033, L, 0.0967, 0.0863, 0.4336, 0.4391
-20.5237, 8.6246, 4.4409, 2.3883, -20.6018, 8.5846, 4.3650, 2.6827, R, 0.0966, 0.0863, 0.4331, 0.4388
-20.3006, 8.7421, 4.4858, 2.3136, -20.3516, 8.7232, 4.4285, 2.7016, L, 0.0965, 0.0862, 0.4326, 0.4387
-20.0753, 8.8558, 4.5288, 2.2392, -20.1412, 8.8635, 4.3564, 2.7362, R, 0.0965, 0.0861, 0.4322, 0.4388
-19.8480, 8.9659, 4.5700, 2.1652, -19.9637, 8.9400, 4.2542, 2.5740, L, 0.0965, 0.0860, 0.4320, 0.4388
-19.6186, 9.0723, 4.6094, 2.0918, -19.7560, 9.0610, 4.2443, 2.5515, R, 0.0966, 0.0859, 0.4319, 0.4388
-19.3873, 9.1750, 4.6469, 2.0189, -19.5526, 9.1151, 4.1976, 2.3648, L, 0.0968, 0.0858, 0.4319, 0.4386
-19.1542, 9.2741, 4.6828, 1.9467, -19.2937, 9.2426, 4.4811, 2.3118, R, 0.0970, 0.0858, 0.4315, 0.4385
-18.9193, 9.3696, 4.7169, 1.8751, -19.0039, 9.3368, 4.6017, 2.2760, L, 0.0969, 0.0857, 0.4311, 0.4384
-18.6827, 9.4615, 4.7494, 1.8043, -18.7782, 9.4286, 4.6885, 2.1643, R, 0.0969, 0.0856, 0.4306, 0.4382
-18.4446, 9.5500, 4.7803, 1.7343, -18.5251, 9.5247, 4.7204, 2.1393, L, 0.0969, 0.0855, 0.4302, 0.4382
-18.2049, 9.6349, 4.8096, 1.6651, -18.2452, 9.5746, 5.0421, 1.8677, R, 0.0968, 0.0855, 0.4298, 0.4378
-17.9639, 9.7164, 4.8374, 1.5969, -17.9401, 9.7094, 5.1659, 1.9855, L, 0.0967, 0.0854, 0.4296, 0.4377
-17.7214, 9.7946, 4.8637, 1.5296, -17.6761, 9.8223, 5.0925, 2.0738, R, 0.0966, 0.0853, 0.4293, 0.4380
-17.4777, 9.8694, 4.8886, 1.4634, -17.4090, 9.9188, 5.1145, 2.0597, L, 0.0966, 0.0852, 0.4290, 0.4384
-17.2328, 9.9409, 4.9120, 1.3982, -17.1420, 10.0172, 5.2318, 1.9935, R, 0.0966, 0.0852, 0.4287, 0.4388
-16.9868, 10.0091, 4.9342, 1.3341, -16.8790, 10.1255, 5.2384, 2.0150, L, 0.0966, 0.0853, 0.4285, 0.4394
-16.7396, 10.0743, 4.9551, 1.2711, -16.6057, 10.2124, 5.3339, 1.9342, R, 0.0967, 0.0854, 0.4284, 0.4400
-16.4915, 10.1362, 4.9747, 1.2094, -16.3794, 10.2903, 5.2420, 1.8759, L, 0.0967, 0.0856, 0.4281, 0.4407
-16.2424, 10.1952, 4.9931, 1.1488, -16.1036, 10.3780, 5.3733, 1.7947, R, 0.0968, 0.0860, 0.4280, 0.4412
